Name,City,State,Zip,"Type Detailed*",Private,Operator,"Current Guaranteed Minimum","Average Daily Population","Current as of**","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"ADAMS COUNTY DET CENTER",NATCHEZ,MS,39120,DIGSA,TRUE,CORECIVIC,"1,100","2,169",08/04/2025,31.527752,-91.307025,1,place,,,"Natchez, MS 39120",,,,,Natchez,MS,"Adams County",39120,US,"TIGER/Line® dataset from the US Census Bureau"
"STEWART DETENTION CENTER",LUMPKIN,GA,31815,DIGSA,TRUE,CORECIVIC,"1,600","1,892",08/04/2025,32.069538,-84.728093,1,place,,,"Lumpkin, GA 31815",,,,,Lumpkin,GA,"Stewart County",31815,US,"TIGER/Line® dataset from the US Census Bureau"
"SOUTH TEXAS ICE PROCESSING CENTER",PEARSALL,TX,78061,CDF,TRUE,GEO,"1,350","1,679",08/04/2025,28.867782,-99.108227,1,place,,,"Pearsall, TX 78061",,,,,Pearsall,TX,"Frio County",78061,US,"TIGER/Line® dataset from the US Census Bureau"
"WINN CORRECTIONAL CENTER",WINNFIELD,LA,71483,DIGSA,TRUE,LASALLE,946,"1,555",08/04/2025,31.914948,-92.669269,1,place,,,"Winnfield, LA 71483",,,,,Winnfield,LA,"Winn Parish",71483,US,"TIGER/Line® dataset from the US Census Bureau"
"ELOY FEDERAL CONTRACT FACILITY",ELOY,AZ,85131,DIGSA,TRUE,CORECIVIC,900,"1,395",08/04/2025,32.755415,-111.547272,0.92,street_center,"E Eloy St",,"Eloy, AZ 85131",,"E Eloy St",,,Eloy,AZ,"Pinal County",85131,US,"TIGER/Line® dataset from the US Census Bureau"
"MOSHANNON VALLEY PROCESSING CENTER",PHILIPSBURG,PA,16866,DIGSA,TRUE,GEO,800,"1,374",08/04/2025,40.90297,-78.226134,1,street_center,"Moshannon St",,"Philipsburg, PA 16866",,"Moshannon St",,,Philipsburg,PA,"Centre County",16866,US,"TIGER/Line® dataset from the US Census Bureau"
"OTAY MESA DETENTION CENTER","SAN DIEGO",CA,92154,CDF,TRUE,CORECIVIC,750,"1,366",08/04/2025,32.568251,-116.995069,1,street_center,"Otay Mesa Rd",,"San Diego, CA 92154",,"Otay Mesa Rd",,,"San Diego",CA,"San Diego County",92154,US,"TIGER/Line® dataset from the US Census Bureau"
"MONTGOMERY ICE PROCESSING CENTER",CONROE,TX,77301,CDF,TRUE,GEO,750,"1,217",08/04/2025,30.309332,-95.463339,1,street_center,"Montgomery Dr",,"Conroe, TX 77301",,"Montgomery Dr",,,Conroe,TX,"Montgomery County",77301,US,"TIGER/Line® dataset from the US Census Bureau"
"CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC)",JENA,LA,71342,DIGSA,TRUE,GEO,"1,170","1,173",08/04/2025,31.60603,-92.140733,1,place,,,"Jena, LA 71342",,,,,Jena,LA,"Lasalle Parish",71342,US,"TIGER/Line® dataset from the US Census Bureau"
"DENVER CONTRACT DETENTION FACILITY",AURORA,CO,80010,CDF,TRUE,GEO,600,"1,173",08/04/2025,39.739249,-104.862881,1,place,,,"Aurora, CO 80010",,,,,Aurora,CO,"Arapahoe County",80010,US,"TIGER/Line® dataset from the US Census Bureau"
"NORTHWEST ICE PROCESSSING CENTER",TACOMA,WA,98421,CDF,TRUE,GEO,"1,181","1,138",08/04/2025,47.254021,-122.400133,1,place,,,"Tacoma, WA 98421",,,,,Tacoma,WA,"Pierce County",98421,US,"TIGER/Line® dataset from the US Census Bureau"
"PORT ISABEL SPC","LOS FRESNOS",TX,78566,SPC,TRUE,AHTNA,650,"1,058",08/04/2025,26.003902,-97.419293,0.9,street_center,"Old Port Isabel Rd",,"Los Fresnos, TX 78566",,"Old Port Isabel Rd",,,"Los Fresnos",TX,"Cameron County",78566,US,"TIGER/Line® dataset from the US Census Bureau"
"JACKSON PARISH CORRECTIONAL CENTER",JONESBORO,LA,71251,DIGSA,FALSE,COUNTY,500,"1,055",08/04/2025,32.252007,-92.702812,1,street_center,"Jackson St",,"Jonesboro, LA 71251",,"Jackson St",,,Jonesboro,LA,"Jackson Parish",71251,US,"TIGER/Line® dataset from the US Census Bureau"
"BLUEBONNET DETENTION FACILITY",ANSON,TX,79501,DIGSA,TRUE,MTC,750,955,08/04/2025,32.765623,-99.854766,1,place,,,"Anson, TX 79501",,,,,Anson,TX,"Jones County",79501,US,"TIGER/Line® dataset from the US Census Bureau"
"KARNES COUNTY IMMIGRATION PROCESSING CENTER","KARNES CITY",TX,78118,DIGSA,TRUE,GEO,928,930,08/04/2025,28.886189,-97.894864,0.92,street_center,"N Karnes St",,"Karnes City, TX 78118",,"N Karnes St",,,"Karnes City",TX,"Karnes County",78118,US,"TIGER/Line® dataset from the US Census Bureau"
"RICHWOOD CORRECTIONAL CENTER",MONROE,LA,71202,DIGSA,TRUE,LASALLE,677,921,08/04/2025,32.386844,-92.072206,1,place,,,"Monroe, LA 71202",,,,,Monroe,LA,"Ouachita Parish",71202,US,"TIGER/Line® dataset from the US Census Bureau"
"KROME NORTH SERVICE PROCESSING CENTER",MIAMI,FL,33194,SPC,TRUE,AKIMA,450,915,08/04/2025,25.713939,-80.583619,0.5,place,,,"Miami, FL 33194",,,,,Miami,FL,"Miami-Dade County",33194,US,"TIGER/Line® dataset from the US Census Bureau"
"SOUTH LOUISIANA ICE PROCESSING CENTER",BASILE,LA,70515,DIGSA,TRUE,GEO,700,880,08/04/2025,30.47998,-92.611428,0.92,street_center,"La Louisiane Rd",,"Basile, LA 70515",,"La Louisiane Rd",,,Basile,LA,"Acadia Parish",70515,US,"TIGER/Line® dataset from the US Census Bureau"
"OTERO COUNTY PROCESSING CENTER",CHAPARRAL,NM,88081,DIGSA,TRUE,MTC,500,863,08/04/2025,32.002669,-106.390867,1,place,,,"Chaparral, NM 88081",,,,,Chaparral,NM,"Doña Ana County",88081,US,"TIGER/Line® dataset from the US Census Bureau"
"JOE CORLEY PROCESSING CTR",CONROE,TX,77301,IGSA,TRUE,GEO,,849,08/04/2025,30.307375,-95.438548,1,place,,,"Conroe, TX 77301",,,,,Conroe,TX,"Montgomery County",77301,US,"TIGER/Line® dataset from the US Census Bureau"
"EL VALLE DETENTION FACILITY",RAYMONDVILLE,TX,78580,DIGSA,TRUE,MTC,600,844,08/04/2025,26.48146,-97.78305,1,place,,,"Raymondville, TX 78580",,,,,Raymondville,TX,"Willacy County",78580,US,"TIGER/Line® dataset from the US Census Bureau"
"HOUSTON CONTRACT DETENTION FACILITY",HOUSTON,TX,77032,CDF,TRUE,CORECIVIC,750,837,08/04/2025,29.649614,-95.22276,0.99,street_center,"Houston Blvd",,"Houston, TX 77034",,"Houston Blvd",,,Houston,TX,"Harris County",77034,US,"TIGER/Line® dataset from the US Census Bureau"
"IAH SECURE ADULT DETENTION FACILITY (POLK)",LIVINGSTON,TX,77351,DIGSA,TRUE,MTC,350,813,08/04/2025,30.682947,-94.897605,1,place,,,"Livingston, TX 77351",,,,,Livingston,TX,"Polk County",77351,US,"TIGER/Line® dataset from the US Census Bureau"
"EL PASO SERVICE PROCESSING CENTER","EL PASO",TX,79925,SPC,TRUE,GPS-ASSET,450,809,08/04/2025,31.765258,-106.495628,0.96,street_center,"El Paso St",,"El Paso, TX 79902",,"El Paso St",,,"El Paso",TX,"El Paso County",79902,US,"TIGER/Line® dataset from the US Census Bureau"
"PRAIRIELAND DETENTION CENTER",ALVARADO,TX,76009,DIGSA,TRUE,LASALLE,525,808,08/04/2025,32.421034,-97.196279,1,place,,,"Alvarado, TX 76009",,,,,Alvarado,TX,"Johnson County",76009,US,"TIGER/Line® dataset from the US Census Bureau"
"PINE PRAIRIE ICE PROCESSING CENTER","PINE PRAIRIE",LA,70576,DIGSA,TRUE,GEO,,761,08/04/2025,30.781583,-92.428446,1,street_center,"Pine St",,"Pine Prairie, LA 70576",,"Pine St",,,"Pine Prairie",LA,"Evangeline Parish",70576,US,"TIGER/Line® dataset from the US Census Bureau"
"FOLKSTON MAIN IPC",FOLKSTON,GA,31537,DIGSA,TRUE,GEO,544,671,08/04/2025,30.855314,-82.027252,0.5,place,,,"Folkston, GA 31537",,,,,Folkston,GA,"Charlton County",31537,US,"TIGER/Line® dataset from the US Census Bureau"
"IMPERIAL REGIONAL DETENTION FACILITY",CALEXICO,CA,92231,CDF,TRUE,MTC,640,664,08/04/2025,32.679029,-115.498868,1,street_center,"S Imperial Ave",,"Calexico, CA 92231",,"S Imperial Ave",,,Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau"
"BROWARD TRANSITIONAL CENTER","POMPANO BEACH",FL,33073,CDF,TRUE,GEO,700,644,08/04/2025,26.298352,-80.180078,1,place,,,"Pompano Beach, FL 33073",,,,,"Pompano Beach",FL,"Broward County",33073,US,"TIGER/Line® dataset from the US Census Bureau"
"RIO GRANDE DETENTION CENTER",LAREDO,TX,78046,"USMS CDF",TRUE,GEO,275,629,08/04/2025,27.539835,-99.517569,0.99,street_center,"Rio Grande Dr",,"Laredo, TX 78041",,"Rio Grande Dr",,,Laredo,TX,"Webb County",78041,US,"TIGER/Line® dataset from the US Census Bureau"
"BUFFALO SERVICE PROCESSING CENTER",BATAVIA,NY,14020,SPC,TRUE,AKIMA,400,618,08/04/2025,42.980544,-78.231764,1,place,,,"Batavia, NY 14020",,,,,Batavia,NY,"Genesee County",14020,US,"TIGER/Line® dataset from the US Census Bureau"
"GOLDEN STATE ANNEX",MCFARLAND,CA,93250,CDF,TRUE,GEO,560,594,08/04/2025,35.67801,-119.22927,0.5,place,,,"Mc Farland, CA 93250",,,,,"Mc Farland",CA,"Kern County",93250,US,"TIGER/Line® dataset from the US Census Bureau"
"PRINCE EDWARD COUNTY (FARMVILLE)",FARMVILLE,VA,23901,DIGSA,TRUE,CORECIVIC,459,574,08/04/2025,37.291751,-78.438301,1,street_center,"Prince Edward Hwy",,"Farmville, VA 23901",,"Prince Edward Hwy",,,Farmville,VA,"Prince Edward County",23901,US,"TIGER/Line® dataset from the US Census Bureau"
"RIVER CORRECTIONAL CENTER",FERRIDAY,LA,71334,DIGSA,FALSE,ICE,361,555,08/04/2025,31.660219,-91.550218,1,place,,,"Ferriday, LA 71334",,,,,Ferriday,LA,"Concordia Parish",71334,US,"TIGER/Line® dataset from the US Census Bureau"
"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,85232,"USMS IGA",TRUE,CORECIVIC,,451,08/04/2025,32.982354,-111.424943,1,place,,,"Florence, AZ 85232",,,,,Florence,AZ,"Pinal County",85232,US,"TIGER/Line® dataset from the US Census Bureau"
"PLYMOUTH COUNTY CORRECTIONAL FACILITY",PLYMOUTH,MA,2360,IGSA,FALSE,COUNTY,,444,08/04/2025,41.886207,-70.638717,0.5,place,,,"Plymouth, MA 02360",,,,,Plymouth,MA,"Plymouth County",02360,US,"TIGER/Line® dataset from the US Census Bureau"
"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,87016,IGSA,TRUE,CORECIVIC,505,444,08/04/2025,34.752146,-106.16066,0.5,place,,,"Estancia, NM 87016",,,,,Estancia,NM,"Torrance County",87016,US,"TIGER/Line® dataset from the US Census Bureau"
"T DON HUTTO DETENTION CENTER",TAYLOR,TX,76574,DIGSA,TRUE,CORECIVIC,461,429,08/04/2025,30.581504,-97.393787,0.5,place,,,"Taylor, TX 76574",,,,,Taylor,TX,"Williamson County",76574,US,"TIGER/Line® dataset from the US Census Bureau"
"DESERT VIEW ANNEX",ADELANTO,CA,92301,CDF,TRUE,GEO,480,418,08/04/2025,34.526157,-117.41619,1,street_center,"Desert St",,"Adelanto, CA 92301",,"Desert St",,,Adelanto,CA,"San Bernardino County",92301,US,"TIGER/Line® dataset from the US Census Bureau"
"ADELANTO ICE PROCESSING CENTER",ADELANTO,CA,92301,CDF,TRUE,GEO,640,410,08/04/2025,34.577163,-117.400582,1,street_center,"Adelanto Rd",,"Adelanto, CA 92301",,"Adelanto Rd",,,Adelanto,CA,"San Bernardino County",92301,US,"TIGER/Line® dataset from the US Census Bureau"
"FLORENCE SERVICE PROCESSING CENTER",FLORENCE,AZ,85132,SPC,FALSE,ICE,392,384,08/04/2025,33.072249,-111.378917,0.92,street_center,"N Florence St",,"Florence, AZ 85132",,"N Florence St",,,Florence,AZ,"Pinal County",85132,US,"TIGER/Line® dataset from the US Census Bureau"
"WEBB COUNTY DETENTION CENTER (CCA)",LAREDO,TX,78041,DIGSA,TRUE,CORECIVIC,250,378,08/04/2025,27.556714,-99.475079,1,place,,,"Laredo, TX 78041",,,,,Laredo,TX,"Webb County",78041,US,"TIGER/Line® dataset from the US Census Bureau"
"LAREDO PROCESSING CENTER",LAREDO,TX,78041,DIGSA,TRUE,CORECIVIC,,366,08/04/2025,27.507634,-99.476794,0.99,street_center,"Laredo St",,"Laredo, TX 78043",,"Laredo St",,,Laredo,TX,"Webb County",78043,US,"TIGER/Line® dataset from the US Census Bureau"
"NEVADA SOUTHERN DETENTION CENTER",PAHRUMP,NV,89060,"USMS CDF",TRUE,CORECIVIC,,350,08/04/2025,36.49162,-116.16754,1,place,,,"Pahrump, NV 89060",,,,,Pahrump,NV,"Nye County",89060,US,"TIGER/Line® dataset from the US Census Bureau"
"ALEXANDRIA STAGING FACILI",ALEXANDRIA,LA,71303,STAGING,TRUE,GEO,,325,08/04/2025,31.264052,-92.498253,0.9,street_center,"W Alexandra Dr",,"Alexandria, LA 71303",,"W Alexandra Dr",,,Alexandria,LA,"Rapides Parish",71303,US,"TIGER/Line® dataset from the US Census Bureau"
"CAROLINE DETENTION FACILITY","BOWLING GREEN",VA,22427,DIGSA,FALSE,LOCAL,224,298,08/04/2025,38.008401,-77.260353,1,place,,,"Bowling Green, VA 22427",,,,,"Bowling Green",VA,"Caroline County",22427,US,"TIGER/Line® dataset from the US Census Bureau"
"ELIZABETH CONTRACT DETENTION FACILITY",ELIZABETH,NJ,7201,CDF,TRUE,CORECIVIC,285,295,08/04/2025,40.659749,-74.205057,1,street_center,"Elizabeth Ave",,"Elizabeth, NJ 07201",,"Elizabeth Ave",,,Elizabeth,NJ,"Union County",07201,US,"TIGER/Line® dataset from the US Census Bureau"
"FOLKSTON ANNEX IPC",FOLKSTON,GA,31537,DIGSA,TRUE,GEO,338,285,08/04/2025,30.855314,-82.027252,0.5,place,,,"Folkston, GA 31537",,,,,Folkston,GA,"Charlton County",31537,US,"TIGER/Line® dataset from the US Census Bureau"
"BAKER COUNTY SHERIFF DEPT.",MACCLENNY,FL,32063,IGSA,FALSE,COUNTY,192,259,08/04/2025,30.28218,-82.12206,1,place,,,"Macclenny, FL 32063",,,,,Macclenny,FL,"Baker County",32063,US,"TIGER/Line® dataset from the US Census Bureau"
"CLAY COUNTY JUSTICE CENTER",BRAZIL,IN,47834,"USMS IGA",FALSE,COUNTY,,256,08/04/2025,39.382796,-87.009996,0.82,street_center,"S Clay St",,"Bowling Green, IN 47833",,"S Clay St",,,"Bowling Green",IN,"Clay County",47833,US,"TIGER/Line® dataset from the US Census Bureau"
"CIBOLA COUNTY CORRECTIONAL CENTER",MILAN,NM,87021,IGSA,TRUE,CORECIVIC,,223,08/04/2025,35.180851,-107.908438,1,street_center,"Cibola Ct",,"Milan, NM 87021",,"Cibola Ct",,,Milan,NM,"Cibola County",87021,US,"TIGER/Line® dataset from the US Census Bureau"
"MIAMI FEDERAL DETENTION",MIAMI,FL,33132,BOP,FALSE,BOP,,210,08/04/2025,25.789389,-80.19404,0.92,street_center,"NE Miami Ct",,"Miami, FL 33132",,"NE Miami Ct",,,Miami,FL,"Miami-Dade County",33132,US,"TIGER/Line® dataset from the US Census Bureau"
"SAN LUIS REGIONAL DETENTION CENTER","SAN LUIS",AZ,85349,IGSA,TRUE,LASALLE,100,202,08/04/2025,32.487376,-114.758094,1,street_center,"San Luis Ln",,"San Luis, AZ 85349",,"San Luis Ln",,,"San Luis",AZ,"Yuma County",85349,US,"TIGER/Line® dataset from the US Census Bureau"
"FLORENCE STAGING FACILITY",FLORENCE,AZ,85232,STAGING,FALSE,ICE,,187,08/04/2025,33.034911,-111.38366,0.82,street_center,"N Florence St",,"Florence, AZ 85132",,"N Florence St",,,Florence,AZ,"Pinal County",85132,US,"TIGER/Line® dataset from the US Census Bureau"
"PIKE COUNTY JAIL","LORDS VALLEY",PA,18428,IGSA,FALSE,COUNTY,100,187,08/04/2025,41.391148,-75.070849,1,street_center,"Pike County Blvd",,"Hawley, PA 18428",,"Pike County Blvd",,,Hawley,PA,"Pike County",18428,US,"TIGER/Line® dataset from the US Census Bureau"
"ALLEN PARISH PUBLIC SAFETY COMPLEX",OBERLIN,LA,70655,IGSA,FALSE,COUNTY,170,173,08/04/2025,30.884811,-92.824062,0.89,street_center,"Allen Parish",,"Pitkin, LA 70656",,"Allen Parish",,,Pitkin,LA,"Vernon Parish",70656,US,"TIGER/Line® dataset from the US Census Bureau"
"BOONE COUNTY JAIL",BURLINGTON,KY,41005,"USMS IGA",FALSE,COUNTY,,164,08/04/2025,39.015027,-84.773564,1,place,,,"Burlington, KY 41005",,,,,Burlington,KY,"Boone County",41005,US,"TIGER/Line® dataset from the US Census Bureau"
