recipient_name,total_obligated_amount,Country,Address,County,City,State,Zip4 Code
"THE GEO GROUP, INC.",1285342369,USA,4955 TECHNOLOGY WAY,BOCA RATON,PALM BEACH,FL,334313367
"MVM, INC.",984933847.9,USA,44620 GUILFORD DR STE 150,ASHBURN,LOUDOUN,VA,201476063
B.I. INCORPORATED,918975237.5,USA,6265 GUNBARREL AVE STE B,BOULDER,BOULDER,CO,803015318
CLASSIC AIR CHARTER INC.,800164136.9,USA,3200 N RIVERSIDE DR,INDIALANTIC,BREVARD,FL,329034407
"CSI AVIATION, INC",588496544,USA,6006 REESE CREEK RD,KILLEEN,BELL,TX,765497160
"AKIMA GLOBAL SERVICES, LLC",434121758.4,USA,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,ANCHORAGE,ANCHORAGE,AK,99502
"CORECIVIC, INC.",416664253,USA,"5501 VIRGINIA WAY, STE 110",BRENTWOOD,WILLIAMSON,TN,370277684
PARAGON PROFESSIONAL SERVICES LLC,204507928.5,USA,3301 C ST,ANCHORAGE,ANCHORAGE,AK,995033958
INSERSO CORPORATION,199731260.7,USA,8180 GREENSBORO DR,MC LEAN,FAIRFAX,VA,221023878
DELOITTE CONSULTING LLP,190176446.2,USA,1919 N LYNN ST,ARLINGTON,ARLINGTON,VA,222091742
G4S SECURE SOLUTIONS (USA) INC.,160850516.8,USA,4200 WACKENHUT DR STE 100,PALM BEACH GARDENS,PALM BEACH,FL,334104243
"CACI, INC. - FEDERAL",155707924.8,USA,14370 NEWBROOK DRIVE,CHANTILLY,FAIRFAX,VA,201514206
BOOZ ALLEN HAMILTON INC,133699784.9,USA,8283 GREENSBORO DR,MC LEAN,FAIRFAX,VA,221023830
PALANTIR TECHNOLOGIES INC.,132893529.3,USA,100 HAMILTON AVE STE 300,PALO ALTO,SANTA CLARA,CA,943011651
"FAMILY ENDEAVORS, INC.",131385874.7,USA,6363 DE ZAVALA RD STE 200,SAN ANTONIO,BEXAR,TX,782492104
AKIMA INFRASTRUCTURE PROTECTION LLC,128080879.5,USA,2553 DULLES VIEW DR STE 700,HERNDON,FAIRFAX,VA,201715228
CAPGEMINI GOVERNMENT SOLUTIONS LLC,125325140.8,USA,1900 CAMPUS COMMONS DR #250,RESTON,FAIRFAX,VA,201911560
"STEAMPUNK, INC.",120961821.5,USA,1753 PINNACLE DR STE 900,MCLEAN,FAIRFAX,VA,221023844
"THE KACE COMPANY, LLC.",117932392.1,USA,44620 GUILFORD DR STE 150,ASHBURN,LOUDOUN,VA,201476063
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",108973297.1,USA,3150 FAIRVIEW PARK DR STE 100,FALLS CHURCH,FAIRFAX,VA,220424504
"FOUR POINTS TECHNOLOGY, L.L.C.",103242419.2,USA,13221 WOODLAND PARK RD,HERNDON,FAIRFAX,VA,201715505
TRIBALCO LLC,97215506.68,USA,7735 OLD GEORGETOWN RD FL 12,BETHESDA,MONTGOMERY,MD,208146193
"CACI NSS, LLC",93793572.25,USA,12021 SUNSET HILLS RD,RESTON,FAIRFAX,VA,201905854
FCN INC,90238774.55,USA,12501 ARDENNES AVE STE 101,ROCKVILLE,MONTGOMERY,MD,208521741
WIDEPOINT INTEGRATED SOLUTIONS CORP,90070318.97,USA,11250 WAPLES MILL RD STE 210,FAIRFAX,FAIRFAX,VA,220307400
MANAGEMENT & TRAINING CORPORATION,89390076.87,USA,500 N MARKET PL DR STE 100,CENTERVILLE,DAVIS,UT,840141711
DEV TECHNOLOGY GROUP INC,85975522.94,USA,11440 COMMERCE PARK DRIVE,RESTON,FAIRFAX,VA,201911544
"CACI-ISS, LLC",85715112.73,USA,14370 NEWBROOK DRIVE,CHANTILLY,FAIRFAX,VA,201512218
"PROCENTRIX, LLC",83024967.66,USA,2551 DULLES VIEW DR STE 600,HERNDON,FAIRFAX,VA,201716502
"SAVANTAGE FINANCIAL SERVICES, INC.",70920526.75,USA,2101 GAITHER RD STE 350,ROCKVILLE,MONTGOMERY,MD,208504074
"MOTOROLA SOLUTIONS, INC.",63465439.65,USA,809 PINNACLE DR STE G,LINTHICUM HEIGHTS,ANNE ARUNDEL,MD,210902535
"HARMONIA HOLDINGS GROUP, LLC",62679763.92,USA,2020 KRAFT DR STE 2400,BLACKSBURG,MONTGOMERY,VA,240606569
"ITC FEDERAL, LLC",61928618.25,USA,4114 LEGATO RD,FAIRFAX,FAIRFAX,VA,220334057
NATIVE ENERGY & TECHNOLOGY INC,60769027.39,USA,12830 COGBURN,SAN ANTONIO,BEXAR,TX,782492230
"AIRCRAFT TRANSPORT SERVICES, INC.",55135016.45,USA,4285 SW MARTIN HWY,PALM CITY,MARTIN,FL,349908615
DELL FEDERAL SYSTEMS L.P,53330095.19,USA,1 DELL WAY,ROUND ROCK,WILLIAMSON,TX,786827000
ACUITY INC,52965156.3,USA,11710 PLAZA AMERICA DR STE 700,RESTON,FAIRFAX,VA,201904773
CHENEGA FACILITIES MANAGEMENT LLC,51590814.6,USA,5726 W HAUSMAN RD STE 100,SAN ANTONIO,BEXAR,TX,782491651
GUIDEHOUSE INC.,49249466.12,USA,1676 INTERNATIONAL DR STE 800,MC LEAN,FAIRFAX,VA,221023600
"ALETHIX, LLC",46705748.4,USA,1430 SPRING HILL RD STE 200,MC LEAN,FAIRFAX,VA,221023013
PRICE MODERN LLC,45867273.32,USA,2604 SISSON ST,BALTIMORE,BALTIMORE (CITY),MD,212113101
ACCENTURE FEDERAL SERVICES LLC,44264111.58,USA,800 NORTH GLEBE RD #300,ARLINGTON,ARLINGTON,VA,222031807
JSI TELECOM INC.,42462108.28,USA,15004 NORTHRIDGE DR # 100,CHANTILLY,FAIRFAX,VA,201513817
"INTEGRITYONE PARTNERS, INC.",42045608.17,USA,11325 RANDOM HILLS ROAD,FAIRFAX,FAIRFAX,VA,220306051
ALPHA OMEGA INTEGRATION LLC,39826166.54,USA,8150 LEESBURG PIKE STE 1010,VIENNA,FAIRFAX,VA,221822714
"SPECTRUM SECURITY SERVICES, INC.",39656944.83,USA,13967 HIGHWAY 94 STE 101,JAMUL,SAN DIEGO,CA,919353232
TALTON COMMUNICATIONS INC,38787485.02,USA,910 RAVENWOOD DR,SELMA,DALLAS,AL,367016723
"ANACAPA MICRO PRODUCTS, INC.",38612453.59,USA,1901 SOLAR DR STE 150,OXNARD,VENTURA,CA,930360630
"PANAMERICA COMPUTERS, INC.",38028005.66,USA,1386 BIG OAK RD,LURAY,PAGE,VA,228355233
CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,36071019.76,USA,8609 WESTWOOD CTR DR STE 300,VIENNA,FAIRFAX,VA,221827521
"AT&T ENTERPRISES, LLC",34351078.88,USA,7125 COLUMBIA GATEWAY,COLUMBIA,HOWARD,MD,210462552
"CREATIVE CORRECTIONS, LLC",33504752.78,USA,6675 CALDER AVE,BEAUMONT,JEFFERSON,TX,777066005
"DYNAMIS, INC.",33435187.31,USA,3130 FAIRVIEW PARK DR STE 300,FALLS CHURCH,FAIRFAX,VA,220424578
U.S. BANCORP,32450163.27,USA,800 NICOLLET MALL,MINNEAPOLIS,HENNEPIN,MN,554027000
ISS ACTION INC,32392183.29,USA,204 E MCKENZIE ST,PUNTA GORDA,CHARLOTTE,FL,339506073
"THUNDERCAT TECHNOLOGY, LLC",31737879.8,USA,1925 ISAAC NEWTON SQ STE 180,RESTON,FAIRFAX,VA,201905030
BLUE TECH INC.,31475937.93,USA,2251 SAN DIEGO AVE STE B155,SAN DIEGO,SAN DIEGO,CA,921102930
AHTNA SUPPORT & TRAINING SERVICES LLC,31406695.91,USA,110 W 38TH AVE STE 200D,ANCHORAGE,ANCHORAGE,AK,995035677
CHEVO CONSULTING LLC,31228267.56,USA,"2275 RESEARCH BLVD., STE 100",ROCKVILLE,MONTGOMERY,MD,208503340
VARIQ CORPORATION,30171225.41,USA,2600 TOWER OAKS BLVD STE 300,ROCKVILLE,MONTGOMERY,MD,208524246
THOMSON REUTERS SPECIAL SERVICES LLC,30124083.17,USA,1410 SPRING HILL ROAD,MCLEAN,FAIRFAX,VA,221023058
GRANT THORNTON LLP,30027688.59,USA,333 JOHN CARLYLE ST STE 500,ALEXANDRIA,ALEXANDRIA (CITY),VA,223145767
BOWHEAD MARINE SUPPORT SERVICES LLC,29452425.22,USA,1000 SHILOH RD,PLANO,COLLIN,TX,750747221
"ATLANTIC DIVING SUPPLY, INC.",29037424.76,USA,621 LYNNHAVEN PKWY,VIRGINIA BEACH,VIRGINIA BEACH (CITY),VA,234527383
AVER LLC,27884679.87,USA,10 G ST NE SUITE 600A,WASHINGTON,DISTRICT OF COLUMBIA,DC,200024213
"CHANGEIS, INC.",27432039.3,USA,1530 WILSON BLVD,ARLINGTON,ARLINGTON,VA,222092418
"LUKOS, LLC",27216245.02,USA,800 S HARBOUR ISLAND BLVD,TAMPA,HILLSBOROUGH,FL,336025709
"SALIENT CRGT, INC.",26535189.91,USA,4000 LEGATO RD STE 600,FAIRFAX,FAIRFAX,VA,220334055
"KCI-ACUITY, LLC",25649586.6,USA,202 CHURCH ST SE STE 313A,LEESBURG,LOUDOUN,VA,201753032
INTERNATIONAL ORGANIZATION FOR MIGRATION,25043629,USA,1752 N STREET NW STE 600,WASHINGTON,DISTRICT OF COLUMBIA,DC,200362908
PARSONS GOVERNMENT SERVICES INC.,24879152.81,USA,100 W WALNUT ST,PASADENA,LOS ANGELES,CA,911240001
THE MITRE CORPORATION,24284152.28,USA,7515 COLSHIRE DR,MC LEAN,FAIRFAX,VA,221027539
ADC LTD NM,24267747.64,USA,2100 AIR PARK RD SE STE 120,ALBUQUERQUE,BERNALILLO,NM,871063227
"PEN-LINK, LIMITED",24113937.87,USA,5936 VANDERVOORT DR,LINCOLN,LANCASTER,NE,685162305
"ACUITY INTERNATIONAL, LLC",23897388.49,USA,10701 PARKRIDGE BLVD,RESTON,FAIRFAX,VA,201914359
"GOVCIO, LLC",23342649.72,USA,101 CONSTITUTION AVE NW STE 100W,WASHINGTON,DISTRICT OF COLUMBIA,DC,200012153
LEXISNEXIS RISK SOLUTIONS INC,22132743,USA,1000 ALDERMAN DR,ALPHARETTA,FULTON,GA,300054101
IMMIXTECHNOLOGY INC,22119877.29,USA,8444 WESTPARK DR,MC LEAN,FAIRFAX,VA,221025112
"INTEGRATED SECURITY TECHNOLOGIES, INC",21867935.98,USA,520 HERNDON PKWY STE C,HERNDON,FAIRFAX,VA,201706218
PERATON RISK DECISION INC.,21624463.02,USA,1750 FOXTRAIL DR,LOVELAND,LARIMER,CO,805388834
LABORATORY CORPORATION OF AMERICA,21283701.6,USA,231 MAPLE AVE,BURLINGTON,ALAMANCE,NC,272155848
CELLEBRITE INC,21242844.98,USA,7 CAMPUS DR STE 210,PARSIPPANY,MORRIS,NJ,70544413
VISTA OUTDOOR SALES LLC,21199770.6,USA,1 VISTA WAY,ANOKA,ANOKA,MN,553036794
"JAVA PRODUCTIONS, INC.",20831089.35,USA,2270 KRAFT DR,BLACKSBURG,MONTGOMERY,VA,240606778
"THE ARORA GROUP, INC.",20573386.66,USA,903 RUSSELL AVE 4TH FL,GAITHERSBURG,MONTGOMERY,MD,208793282
"HAMILTON ENTERPRISES, LLC",20446064.17,USA,7233 HANOVER PKWY STE D,GREENBELT,PRINCE GEORGE'S,MD,207703600
"ICF INCORPORATED, L.L.C.",20183628.76,USA,1902 RESTON METRO PLAZA,RESTON,FAIRFAX,VA,201905231
AEEC-ARGENTYS LLC,19782911.86,USA,12 S SUMMIT AVE,GAITHERSBURG,MONTGOMERY,MD,208772089
"CHENEGA MISSION OPERATIONS, LLC",19522480.29,USA,5253 PRUE RD STE 230,SAN ANTONIO,BEXAR,TX,782491759
"INSIGHT TECHNOLOGY SOLUTIONS, LLC",19453435.29,USA,17251 MELFORD BLVD STE 100,BOWIE,PRINCE GEORGE'S,MD,207154436
"STELLA JV, LLC",19190801.7,USA,1712 CLUBHOUSE RD,RESTON,FAIRFAX,VA,201904596
"AXON ENTERPRISE, INC.",19165167.72,USA,"17800, NORTH 85TH STREET",SCOTTSDALE,MARICOPA,AZ,852556311
"MAVAGI ENTERPRISES, INC.",18411223.74,USA,5726 W HAUSMAN RD STE 115,SAN ANTONIO,BEXAR,TX,782491651
"AMAR HEALTH IT, LLC",18112012.26,USA,10511 BRADDOCK RD STE 1B,FAIRFAX,FAIRFAX,VA,220322251
KURRENT LOGIC LLC,17789943.18,USA,200 MASSACHUSETTS AVE NW STE 700,WASHINGTON,DISTRICT OF COLUMBIA,DC,200015654
DATA SYSTEMS ANALYSTS INC,17694143.42,USA,8 NESHAMINY INTERPLEX DR STE 209,FEASTERVILLE TREVOSE,BUCKS,PA,190536944
"AMERGIS HEALTHCARE STAFFING, INC.",17430030.73,USA,7227 LEE DEFOREST DR,COLUMBIA,HOWARD,MD,210463236
"EMERGENT, LLC",17129614.58,USA,4525 MAIN ST,VIRGINIA BEACH,VIRGINIA BEACH (CITY),VA,234623375
"INNOVATIVE CONSULTING & MANAGEMENT SERVICES, LLC",16264007.18,USA,100 LAKEFOREST BLVD STE 600,GAITHERSBURG,MONTGOMERY,MD,208776206
"SNAP, INC",15681734.69,USA,4080 LAFAYETTE CENTER DR,CHANTILLY,FAIRFAX,VA,201511252
ECLINICALWORKS LLC,15475080.81,USA,2 TECHNOLOGY DR,WESTBOROUGH,WORCESTER,MA,15811727
"XL ASSOCIATES, INC.",14296289.83,USA,8614 WESTWOOD CENTER DR STE 700,VIENNA,FAIRFAX,VA,221822264
"GEM TECHNOLOGY INTERNATIONAL, CORP",14123770.39,USA,2665 S BAYSHORE DR STE M103-6,MIAMI,MIAMI-DADE,FL,331335448
POTOMAC CENTER NORTH INC,14017769.39,USA,500 12TH ST SW,WASHINGTON,DISTRICT OF COLUMBIA,DC,200246121
AKIRA TECHNOLOGIES INC.,13947385.83,USA,10 G ST NE STE 710,WASHINGTON,DISTRICT OF COLUMBIA,DC,200024288
"HIGH PRAIRIE SERVICES, LLC",13689127.01,USA,601 PIERCE ST,OMAHA,DOUGLAS,NE,681083310
"EXCELLA, LLC",13256231.94,USA,2300 WILSON BLVD STE 600,ARLINGTON,ARLINGTON,VA,222015426
INGENESIS INC,13008709.17,USA,18756 STONE OAK PKWY,SAN ANTONIO,BEXAR,TX,782584354
LIONBRIDGE GLOBAL SOLUTIONS II INC.,12930208.59,USA,1050 WINTER ST STE 2300,WALTHAM,MIDDLESEX,MA,24511248
SERCO INC,12879841.27,USA,12930 WORLDGATE DR,HERNDON,FAIRFAX,VA,201706027
"CONCUR TECHNOLOGIES, INC.",12649858.07,USA,601 108TH AVE NE STE 1000,BELLEVUE,KING,WA,980044750
GLOBAL TECH INC.,12418335.86,USA,3103 N 10TH ST STE 200,ARLINGTON,ARLINGTON,VA,222012191
LEXISNEXIS SPECIAL SERVICES INC,11792924.84,USA,1150 18TH ST NW STE 250,WASHINGTON,DISTRICT OF COLUMBIA,DC,200363820
CELEEN LLC,11584479.87,USA,2 MATTS PATH,MASHANTUCKET,SOUTHEASTERN CONNECTICUT,CT,63383804
ENVISAGE TECHNOLOGIES LLC,11384761.56,USA,101 W KIRKWOOD AVE STE 200,BLOOMINGTON,MONROE,IN,474046132
LOGISTICS APPLICATIONS INC.,11374344.43,USA,2760 EISENHOWER AVE STE 202,ALEXANDRIA,ALEXANDRIA (CITY),VA,223144576
"THE NAKAMOTO GROUP, INC.",11294736.28,USA,3347 ECLIPSE DR,JEFFERSON,FREDERICK,MD,217557603
"MAGNET FORENSICS, LLC",11251649.45,USA,1011 MANSELL RD STE B,ROSWELL,FULTON,GA,300768850
RED CARROT INC,10515007.97,USA,520 BRICKELL KEY DRIVE SUITE O208,MIAMI,MIAMI-DADE,FL,331312619
ACEPEX MANAGEMENT CORPORATION,10473174.9,USA,2707 SATURN ST,BREA,ORANGE,CA,928216705
ERNST & YOUNG LLP,10354371.06,USA,5 TIMES SQ,NEW YORK,NEW YORK,NY,100366527
PERATON ENTERPRISE SOLUTIONS LLC,10338784.14,USA,13600 EDS DR A3S,HERNDON,FAIRFAX,VA,201713225
"NORTH EAST SOUTH WEST HEALTHCARE SOLUTIONS, LLC",10239209.24,USA,7927 JONES BRANCH DR,MC LEAN,FAIRFAX,VA,221023329
CHAINALYSIS INC.,10018993.07,USA,114 5TH AVE FL 18,NEW YORK,NEW YORK,NY,100115668
"DNI TREND JOINT VENTURES, LLC",9989601,USA,7060 S YALE AVE,TULSA,TULSA,OK,741365716
SATELLITE SERVICES INC,9435491.85,USA,309 S FRONT ST,MARQUETTE,MARQUETTE,MI,498554600
NORSEMAN INC,9275886.48,USA,8172 LARK BROWN RD STE 201,ELKRIDGE,HOWARD,MD,210756423
"C2 TECHNOLOGIES, INC.",9225124.56,USA,7601 LEWINSVILLE RD STE 205,MC LEAN,FAIRFAX,VA,221022815
"GLOBAL PRECISION SYSTEMS, LLC",9163773.14,USA,4600 DEBARR RD STE 200,ANCHORAGE,ANCHORAGE,AK,995083103
OMNIPLEX WORLD SERVICES CORPORATION,8945540.34,USA,13530 DULLES TECHNOLOGY DRIVE STE 500,HERNDON,FAIRFAX,VA,201714642
AMIVERO LLC,8459304.25,USA,1900 RESTON METRO PLZ STE 300,RESTON,FAIRFAX,VA,201905950
CORP TEN INTERNATIONAL,8390412.69,USA,2303 DULLES STATION BLVD STE 205,HERNDON,FAIRFAX,VA,201716356
IRON MOUNTAIN INFORMATION MANAGEMENT LLC,8092972.92,USA,1 FEDERAL ST,BOSTON,SUFFOLK,MA,21102012
ATT MOBILITY LLC,7874381.17,USA,5565 GLENRIDGE CONNECTOR,ATLANTA,FULTON,GA,303424756
"FLATTER, INC",7841001.99,USA,805 PRINCESS ANNE ST STE 1,FREDERICKSBURG,FREDERICKSBURG (CITY),VA,224015854
MCMANIS ASSOCIATES INC,7685734.78,USA,100 STATE ST STE 503,ERIE,ERIE,PA,165071457
"CHENEGA TRI-SERVICES, LLC",7663147.78,USA,5726 W HAUSMAN RD STE 100,SAN ANTONIO,BEXAR,TX,782491651
DELOITTE & TOUCHE LLP,7652724.02,USA,1919 N LYNN ST,ARLINGTON,ARLINGTON,VA,222091742
METAPHASE CONSULTING LLC,7644275.7,USA,11911 FREEDOM DR STE 1010,RESTON,FAIRFAX,VA,201905629
DEFINITIVE LOGIC CORPORATION,7470045.64,USA,4121 WILSON BLVD,ARLINGTON,ARLINGTON,VA,222031839
"TECHOPS SPECIALTY VEHICLES, LLC",7352892.32,USA,218A LOG CANOE CIR,STEVENSVILLE,QUEEN ANNE'S,MD,216662111
GLOBAL RESOURCE SOLUTIONS INC,7233316.47,USA,3701 PENDER DR,FAIRFAX,FAIRFAX,VA,220306045
APTIVE HTG LLC,7232774.92,USA,"110 N ROYAL STREET, STE 400",ALEXANDRIA,ALEXANDRIA (CITY),VA,223143121
JESUIT REFUGEE SERVICE USA,7137900.17,USA,1016 16TH ST NW STE 200,WASHINGTON,DISTRICT OF COLUMBIA,DC,200365700
"KCORP SUPPORT SERVICES, INC",7125366.26,USA,1603 COLLEGE RD,FAIRBANKS,FAIRBANKS NORTH STAR,AK,997094175
"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.",6900281.86,USA,3850 N 29 TER STE 106,HOLLYWOOD,BROWARD,FL,330201018
"MAGNET FORENSICS USA, INC.",6834166.03,USA,"2250 CORPORATE PARK DRIVE, UNIT 2",HERNDON,FAIRFAX,VA,201712898
"GRANITE TELECOMMUNICATIONS, LLC",6771307.35,USA,1 HERITAGE DR,QUINCY,NORFOLK,MA,21712105
"VISTRA COMMUNICATIONS, LLC",6742399.5,USA,18315 N. US HWY 41,LUTZ,HILLSBOROUGH,FL,335494468
"WORKWEAR OUTFITTERS, LLC",6292375.08,USA,545 MARRIOTT DR STE 100,NASHVILLE,DAVIDSON,TN,37214
NAXO LABS LLC,6150000,USA,110 GREEN ST APT B402,BROOKLYN,KINGS,NY,11222
SUMMOME NATIVE VENTURES LLC,6069872.14,USA,100 BROOKWOOD RD,ATMORE,ESCAMBIA,AL,365023513
"TRM LABS, INC.",6065351,USA,450 TOWNSEND ST,SAN FRANCISCO,SAN FRANCISCO,CA,941071510
THE RAND CORPORATION,6024823.69,USA,1776 MAIN ST,SANTA MONICA,LOS ANGELES,CA,904013297
OCT CONSULTING LLC,5988718.1,USA,1311 CAPULET CT,MC LEAN,FAIRFAX,VA,221022756
"INALAB CONSULTING, INC.",5941391.95,USA,"3949 PENDER DR, SUITE 150",FAIRFAX,FAIRFAX,VA,220306088
BLUESTONE ANALYTICS LLC,5783930,USA,333 2ND ST SE STE 310,CHARLOTTESVILLE,CHARLOTTESVILLE (CITY),VA,229026272
AMAZE TECHNOLOGIES LLC,5779723.82,USA,13873 PARK CENTER RD STE 212N,HERNDON,FAIRFAX,VA,201713249
BARBARICUM LLC,5747549.94,USA,1714 N STREET,WASHINGTON,DISTRICT OF COLUMBIA,DC,200362907
THE DISTRICT COMMUNICATIONS GROUP LLC,5600000,USA,633 E ST SE,WASHINGTON,DISTRICT OF COLUMBIA,DC,200032991
"KCORP RELIANCE COMPANY, INC.",5561258.96,USA,1603 COLLEGE RD,FAIRBANKS,FAIRBANKS NORTH STAR,AK,997094175
"CYBERDATA TECHNOLOGIES, INC.",5413755.51,USA,455 SPRINGPARK PL STE 300,HERNDON,FAIRFAX,VA,201705527
TFC CONSULTING INC.,5377565.95,USA,9200 CORPORATE BLVD STE 260,ROCKVILLE,MONTGOMERY,MD,208503864
"SEV1TECH, LLC",5364709.9,USA,12700 BLACK FOREST LN,WOODBRIDGE,PRINCE WILLIAM,VA,221925306
"MLINQS, LLC",5310677.66,USA,11350 RANDOM HILLS RD STE 800,FAIRFAX,FAIRFAX,VA,220306044
KALOS INC,5229224.42,USA,3518 SE 21ST ST STE B,TOPEKA,SHAWNEE,KS,666072399
"HOLITNA CONSTRUCTION, LLC",5124231.2,USA,4300 B ST STE 405,ANCHORAGE,ANCHORAGE,AK,995035951
HEARTLAND ENERGY PARTNERS LLC,5008152.76,USA,6720 CURRAN ST,MC LEAN,FAIRFAX,VA,221013803
DANYA INTERNATIONAL LLC,4975191.86,USA,8757 GEORGIA AVE STE 1200,SILVER SPRING,MONTGOMERY,MD,209103739
CHEVIN FLEET SOLUTIONS LLC,4938423,USA,347 LUNENBURG ST,FITCHBURG,WORCESTER,MA,14204505
GREENBRIER GOVERNMENT SOLUTIONS INC,4888975.56,USA,220 KOPPERSTON RD,OCEANA,WYOMING,WV,248705600
"GAP SOLUTIONS, INC.",4835623.96,USA,205 VAN BUREN ST STE 205,HERNDON,FAIRFAX,VA,201705336
"AVAYA FEDERAL SOLUTIONS, INC.",4739857.61,USA,7415 BOSTON BLVD,SPRINGFIELD,FAIRFAX,VA,221533122
"DENTRUST DENTAL INTERNATIONAL, INC.",4698670.5,USA,6097 EASTON RD,PIPERSVILLE,BUCKS,PA,189471810
DV UNITED LLC,4648896.87,USA,7343 WAVERLY DR,WARRENTON,FAUQUIER,VA,201867656
"WESTERN DOOR FEDERAL, LLC",4629500.47,USA,14200 PARK MEADOW DR,CHANTILLY,FAIRFAX,VA,201514256
MANAGEMENT & TECHNICAL SERVICES ALLIANCE JOINT VENTURE,4580742.74,USA,200 N GLEBE RD # 1040,ARLINGTON,ARLINGTON,VA,222033756
"VALOR NETWORK, INC.",4547577,USA,1801 BOULEVARD STE 2,SEASIDE PARK,OCEAN,NJ,87521210
"CASEPOINT, LLC",4526000,USA,7900 TYSONS ONE PL STE 225,MC LEAN,FAIRFAX,VA,221025977
QINTEL LLC,4500000,USA,322 N SHORE DR STE 300,PITTSBURGH,ALLEGHENY,PA,152125875
OPTIMO INFORMATION TECHNOLOGY LLC,4492800,USA,240 MARKET ST STE 112,BLOOMSBURG,COLUMBIA,PA,178151950
SOLV LLC,4482814.67,USA,8201 GREENSBORO DR,MC LEAN,FAIRFAX,VA,221023818
"L3HARRIS TECHNOLOGIES, INC.",4458500,USA,221 JEFFERSON RIDGE PKWY,LYNCHBURG,LYNCHBURG (CITY),VA,245016952
GLOBAL MIRACLE SOLUTIONS LLC,4457389.93,USA,270 EAST 100 S,SALT LAKE CITY,SALT LAKE,UT,841111605
"NATIONAL LAW ENFORCEMENT TELECOMMUNICATION SYSTEM (NLETS), INC",4297191.65,USA,1918 W WHISPERING WIND DR,PHOENIX,MARICOPA,AZ,850851867
"TEAM CARNEY, INC.",4289364.22,USA,7621 ADMIRAL DR,ALEXANDRIA,FAIRFAX,VA,223081071
PARAGON SYSTEMS INC,4276841.1,USA,13900 LINCOLN PARK DR STE 300,HERNDON,FAIRFAX,VA,201713244
